0.8	-1.01572889	-0.983016958
0.9	-1.080159666	-1.048469261
1	-1.12163143	-1.091081312
1.1	-1.147530649	-1.118184338
1.2	-1.162654912	-1.13453023
1.3	-1.17022408	-1.143296434
1.35	-1.171896853	-1.145545658
1.4	-1.172454447	-1.146659917
1.4008	-1.172455307	-1.146669513
1.45	-1.172073251	-1.146814387
1.5	-1.170902358	-1.146159627
1.75	-1.157030784	-1.134726814
2	-1.136284297	-1.116408675
2.5	-1.091966141	-1.076595174
3	-1.055286491	-1.043363912
3.5	-1.029999612	-1.020328888
4	-1.014872149	-1.006978837
4.5	-1.006820052	-1.001246404
5	-1.002891262	-0.999309062
6	-1.000265673	-0.997852885
7	-0.999749047	-0.99740578
8	-0.999649787	-0.997219923
9	-0.999628888	-0.997123439
10	-0.999623287	-0.997083648




